id,domain,category,subcategory,hanja,hangul,title,body,source
G011,관상학,이론,관상과 표정 습관,,,타고난 관상과 후천적으로 만들어지는 인상,"타고난 골격(관상)은 쉽게 바뀌지 않지만, 표정을 짓는 습관은 시간이 지나며 실제로 얼굴 근육과 주름에 흔적을 남긴다고 알려져 있습니다. 자주 웃는 사람은 눈가와 입가에 웃는 주름이 자리 잡고, 자주 찡그리는 사람은 미간에 내 천(川)자 주름이 깊어지는 식입니다. 이런 관점에서 '좋은 관상을 타고나는 것 못지않게, 좋은 표정을 습관으로 만드는 것'이 인상을 가꾸는 현실적인 방법이라고 이야기되곤 합니다.",사주팔자 무료 분석 '관상학 입문' (sajupalza.cc/face-reading/intro)
G012,관상학,이론,관상학과 골상학의 차이,,,관상학은 골상학(우생학)과 어떻게 다른가,"19세기 유럽에서 유행했던 골상학(骨相學)은 두개골의 형태로 지능이나 범죄 성향을 '과학적으로' 판별할 수 있다고 주장하며 인종·계급 차별을 정당화하는 데 악용된 역사가 있습니다. 이는 오늘날 명백한 사이비 과학이자 차별적 이데올로기로 평가됩니다. 이 앱에서 다루는 동양 관상학은 특정 집단을 열등하다고 규정하거나 차별을 정당화하려는 목적이 아니라, 개개인의 특징을 재미와 자기 이해의 소재로 삼는 전통 문화 콘텐츠로 접근하고 있음을 분명히 밝힙니다. 어떤 관상 해석도 특정 인종·성별·연령 집단을 열등하거나 우월하다고 규정하는 데 쓰여서는 안 됩니다.",위키백과 '관상학' (ko.wikipedia.org)
G013,관상학,이론,관상과 첫인상 심리학,,,현대 심리학이 보는 '얼굴과 인상',"현대 심리학에서는 전통 관상학의 해석 체계 자체를 검증하지는 않지만, '사람들이 얼굴을 보고 순식간에 첫인상을 형성하고, 그 첫인상이 이후의 판단에 지속적인 영향을 준다'는 점은 여러 연구로 뒷받침됩니다. 즉 관상학의 해석이 실제로 '운명을 결정'하는 것은 아니지만, 사람들이 특정 인상을 어떻게 받아들이는지는 사회적으로 실재하는 현상입니다. 이 앱의 관상 콘텐츠도 '운명을 예측하는 도구'가 아니라 '얼굴을 소재로 한 재미있는 자기 성찰 콘텐츠'로 즐겨주시길 권합니다.",위키백과 '관상학' (ko.wikipedia.org)
G014,관상학,이론,관상과 직업 적성 총론,,,관상으로 직업 적성을 보는 관점,"전통 관상에서는 오행형(목·화·토·금·수형)과 이목구비의 특징을 종합해 직업 적성을 이야기하는 경우가 많습니다. 화형·용안처럼 표현력이 강조되는 상은 방송·예술 분야를, 금형·각진 얼굴처럼 원칙이 강조되는 상은 법조· 군경 분야를, 토형·둥근 얼굴처럼 포용력이 강조되는 상은 서비스·중재 분야를 권하는 식입니다. 다만 관상 하나로 적성을 단정짓기보다, 자신의 흥미와 강점을 파악하는 여러 참고 자료 중 하나로 활용하는 것이 바람직합니다.",사주팔자 무료 분석 '관상학 입문' (sajupalza.cc/face-reading/intro)
G015,관상학,이론,사주와 관상을 함께 보는 이유,,,"사주와 관상, 왜 함께 보면 좋을까","사주가 '태어난 시점의 우주적 좌표'를 통해 타고난 기질을 읽는다면, 관상은 '지금 이 순간의 얼굴'을 통해 그 기질이 실제로 어떻게 드러나고 있는지를 보여준다고 할 수 있습니다. 전통적으로 명리가들은 사주만으로 판단하기 어려운 부분을 관상으로 보완하거나, 반대로 관상에서 발견한 특징을 사주로 뒷받침해 해석의 설득력을 높이는 방식을 함께 써왔습니다. 이 앱이 사주와 관상을 한 서비스 안에 함께 담은 것도 이런 전통적인 '명리+관상 융합 상담'의 관점을 반영한 것입니다.",사주팔자 무료 분석 '관상학 입문' (sajupalza.cc/face-reading/intro)
G016,관상학,십이궁,명궁,命宮,명궁,명궁(命宮) — 양 눈썹 사이(인당/印堂),"명궁은 십이궁 중 가장 중심이 되는 자리로, 두 눈썹 사이인 인당(印堂)을 가리킵니다. 타고난 성격과 인생 전체의 방향성을 보여주는 자리로 여겨지며, 이 부위가 넓고 매끈하며 흠이 없을수록 마음이 트여 있고 대인관계가 원만하다고 해석됩니다. 반대로 좁고 주름이 많으면 근심이 많고 마음의 여유가 부족한 상으로 보기도 합니다. 십이궁 중 가장 먼저 살피는 자리로 꼽히며, 이 자리가 좋으면 나머지 열한 궁의 기운도 조화롭게 발휘된다고 해석하는 경우가 많습니다.",skyedaily '십이궁의 우두머리 명궁' (skyedaily.com)
G017,관상학,십이궁,재백궁,財帛宮,재백궁,"재백궁(財帛宮) — 코, 특히 코끝(준두/準頭)","재백궁은 코, 그중에서도 콧대가 끝나는 준두(準頭)를 중심으로 봅니다. 재물을 모으고 쓰는 방식, 경제 관념을 보여주는 자리로 여겨지며, 콧대가 곧고 준두가 둥글고 도톰하면 재물운이 안정적이라고 해석됩니다. 코와 함께 좌우 콧방울(재백궁을 지키는 창고에 비유됨)이 적당히 있으면 모은 재물을 지키는 힘도 좋다고 봅니다. 코 전체의 골격과 색택(色澤)까지 함께 살펴, 콧대·준두·콧방울이 고르게 조화를 이룰 때 가장 좋은 재물운으로 해석합니다.",skyedaily '십이궁의 우두머리 명궁' (skyedaily.com)
G018,관상학,십이궁,형제궁,兄弟宮,형제궁,형제궁(兄弟宮) — 눈썹,"형제궁은 눈썹 부위로, 형제자매·동료와의 인연 및 사회적 협력 관계를 보여주는 자리로 여겨집니다. 눈썹이 짙고 가지런하며 눈보다 길게 뻗어 있으면 형제·동료 복이 좋고 대인관계에서 신망을 얻는다고 해석되며, 눈썹이 끊기거나 지나치게 성기면 인간관계에서 굴곡이 있을 수 있다고 봅니다. 눈썹의 숱과 결뿐 아니라 눈썹과 눈 사이의 간격도 함께 살펴, 적당한 간격일 때 원만한 형제·동료 관계로 해석합니다.",skyedaily '십이궁의 우두머리 명궁' (skyedaily.com)
G019,관상학,십이궁,전택궁,田宅宮,전택궁,전택궁(田宅宮) — 눈두덩(윗눈꺼풀과 눈썹 사이),"전택궁은 눈과 눈썹 사이의 눈두덩 부위로, 부동산운과 가정의 안정감을 상징한다고 봅니다. 이 부위가 넓고 깨끗하면 주거 환경이 안정적이고 가정이 화목하다고 해석되며, 좁고 어두운 기색이면 거주 환경의 변동이 잦을 수 있다고 봅니다. 이 부위가 유난히 넓은 사람은 실제로 부동산 관련 직업이나 안정적인 거주 환경과 인연이 깊다고 해석되는 경우가 많습니다.",skyedaily '십이궁의 우두머리 명궁' (skyedaily.com)
G020,관상학,십이궁,남녀궁,男女宮,남녀궁,"남녀궁(男女宮) — 눈 밑(누당/淚堂, 애교살 부위)","남녀궁은 눈 밑, 흔히 '애교살'이라 부르는 누당(淚堂) 부위로, 자녀운과 애정의 결실을 상징한다고 봅니다. 이 부위가 도톰하고 윤기가 있으면 자녀와의 인연이 좋고 정서적으로 안정적이라 해석되며, 꺼지고 어두우면 이 영역에서 마음고생이 있을 수 있다고 봅니다. 이 부위의 혈색이 유난히 좋을 때를 임신이나 좋은 소식의 징조로 풀이하는 민간의 관상 속설도 전해집니다.",skyedaily '십이궁의 우두머리 명궁' (skyedaily.com)
G021,관상학,십이궁,노복궁,奴僕宮,노복궁,노복궁(奴僕宮) — 턱선과 아래턱 양옆,"노복궁은 턱선과 아래턱 양옆 부위로, 아랫사람 복과 통솔력, 만년의 안정을 상징한다고 봅니다. 이 부위가 두툼하고 균형 잡혀 있으면 사람을 잘 이끌고 아랫사람의 도움을 받는다고 해석되며, 뾰족하거나 빈약하면 사람 관리에 어려움을 겪을 수 있다고 봅니다. 턱이 두 겹으로 접히듯 풍만하면 만년의 안정과 아랫사람 복이 더욱 좋다고 해석하는 경우가 많습니다.",skyedaily '십이궁의 우두머리 명궁' (skyedaily.com)
G022,관상학,십이궁,처첩궁,妻妾宮,처첩궁,"처첩궁(妻妾宮) — 눈꼬리(어미/魚尾, 간문/奸門)","처첩궁은 눈꼬리 바깥쪽, 흔히 '어미(魚尾)' 또는 '간문(奸門)'이라 부르는 부위로, 배우자·연인과의 인연을 상징한다고 봅니다. 이 부위가 매끈하고 살집이 도톰하면 애정운이 원만하다고 해석되며, 주름이 어지럽게 얽혀 있으면 애정 관계에서 굴곡이 있을 수 있다고 봅니다. 이 부위에 점이 있으면 애정사에 굴곡이 있다고 보는 민간 속설이 있으나, 현대적으로는 하나의 참고 요소로만 봅니다.",skyedaily '십이궁의 우두머리 명궁' (skyedaily.com)
G023,관상학,십이궁,질액궁,疾厄宮,질액궁,"질액궁(疾厄宮) — 미간 위, 콧대가 시작되는 산근(山根)","질액궁은 두 눈 사이, 콧대가 시작되는 산근(山根) 부위로, 건강과 위기 대응력을 상징한다고 봅니다. 이 부위가 낮게 꺼지지 않고 적당히 두둑하면 건강 관리 능력이 좋고 위기를 잘 넘긴다고 해석되며, 흉터나 굴곡이 있으면 건강에 더 신경 써야 한다고 봅니다. 산근이 낮게 이어지는 사람은 체력 관리에 좀 더 신경 써야 한다고 해석하는 경우가 많고, 반대로 두둑하면 위기 대응력이 좋다고 봅니다.",skyedaily '십이궁의 우두머리 명궁' (skyedaily.com)
G024,관상학,십이궁,천이궁,遷移宮,천이궁,"천이궁(遷移宮) — 눈썹꼬리 바깥, 이마 양쪽 끝","천이궁은 눈썹꼬리 바깥쪽 이마 양끝 부위로, 이동·여행·해외 진출 등 환경 변화운을 상징한다고 봅니다. 이 부위가 넓고 깨끗하면 타지에서도 잘 적응하고 기회를 얻는다고 해석되며, 움푹하거나 흠이 있으면 이동 중 어려움을 겪을 수 있다고 봅니다. 이 부위가 발달한 사람은 실제로 유학·이민·해외 근무 등 국제적인 활동과 인연이 깊다고 해석되는 경우가 많습니다.",skyedaily '십이궁의 우두머리 명궁' (skyedaily.com)
G025,관상학,십이궁,관록궁,官祿宮,관록궁,관록궁(官祿宮) — 이마 정중앙,"관록궁은 이마 한가운데 부위로, 직업운과 사회적 명예를 상징한다고 봅니다. 이 부위가 넓고 반듯하며 윤기가 있으면 직장·사업에서 성취를 이루고 명예를 얻는다고 해석되며, 좁거나 흉터가 있으면 직업적으로 굴곡을 겪을 수 있다고 봅니다. 이마 중앙에 흉터나 뾰루지가 자주 생기는 시기를 직업적으로 스트레스가 큰 시기로 풀이하는 민간 속설도 있습니다.",skyedaily '십이궁의 우두머리 명궁' (skyedaily.com)
G026,관상학,십이궁,복덕궁,福德宮,복덕궁,"복덕궁(福德宮) — 눈썹 위, 이마 양쪽","복덕궁은 눈썹 바로 위 이마 양쪽 부위로, 타고난 복과 정신적 여유를 상징한다고 봅니다. 이 부위가 도톰하고 밝으면 타고난 복이 많고 마음의 여유가 있다고 해석되며, 꺼져 있으면 정신적으로 조급해지기 쉽다고 봅니다. 이 부위가 풍만한 사람은 실제로 여유로운 마음가짐 덕분에 대인관계에서 신뢰를 얻는 경우가 많다고 해석됩니다.",skyedaily '십이궁의 우두머리 명궁' (skyedaily.com)
G027,관상학,십이궁,부모궁,父母宮,부모궁,부모궁(父母宮) — 이마 양쪽(일각/日角·월각/月角),"부모궁은 이마 양쪽, 일각(日角)·월각(月角)이라 부르는 부위로, 부모와의 인연과 초년 성장 배경을 상징한다고 봅니다. 이 부위가 둥글고 튀어나와 있으면 부모의 덕을 많이 본다고 해석되며, 움푹하거나 흠이 있으면 초년에 부모와의 인연에서 굴곡이 있을 수 있다고 봅니다. 이 부위에 흠이 없이 매끈하면 부모와의 관계가 원만하고, 초년에 안정적인 지원을 받는다고 해석하는 경우가 많습니다.",skyedaily '십이궁의 우두머리 명궁' (skyedaily.com)
G028,관상학,오행형,목형,木形,목형,목형(木形) — 갸름하고 세로로 긴 얼굴,"목형은 이마가 넓은 편이고 전체적으로 얼굴이 세로로 길며 턱이 좁아지는 형태를 말합니다. 코도 바르고 길며 눈도 갸름하게 긴 편이라고 봅니다. 목의 기운답게 곧고 위로 뻗는 성장 지향적 성격, 자존심과 원칙을 중시하는 기질과 연결지어 해석됩니다. 목형인 사람은 꾸준히 성장하는 분야, 예를 들어 교육·출판·임업·목공예처럼 '기르고 뻗어나가는' 성격의 일과 잘 맞는다고 해석됩니다.",투데이신문 '오행이 관상에서 어떻게 사용되는가' (ntoday.co.kr)
G029,관상학,오행형,화형,火形,화형,화형(火形) — 위가 좁고 아래가 넓은 역삼각 인상,"화형은 이마 쪽이 상대적으로 좁고 아래턱 쪽이 넓어지는 형태로, 광대가 두드러져 보이는 경우가 많다고 봅니다. 불의 기운답게 열정적이고 표현력이 풍부하며, 순간적인 판단력과 추진력이 강하다고 해석됩니다. 화형인 사람은 열정과 표현력을 살릴 수 있는 방송·예술·마케팅·요식업 분야에서 두각을 나타낸다고 해석되는 경우가 많습니다.",투데이신문 '오행이 관상에서 어떻게 사용되는가' (ntoday.co.kr)
G030,관상학,오행형,토형,土形,토형,토형(土形) — 네모지면서 둥근 두터운 인상,"토형은 얼굴이 네모진 듯하면서도 가장자리가 둥글둥글하고, 전체적으로 두툼한 인상을 줍니다. 흙의 기운답게 신뢰감 있고 안정적이며, 묵묵히 중심을 잡아주는 포용력 있는 성격과 연결지어 해석됩니다. 토형인 사람은 신뢰와 안정감이 필요한 부동산·행정·중재·상담 분야에서 강점을 발휘한다고 해석됩니다.",투데이신문 '오행이 관상에서 어떻게 사용되는가' (ntoday.co.kr)
G031,관상학,오행형,금형,金形,금형,금형(金形) — 이마와 턱이 각진 네모 얼굴,"금형은 이마도 네모지게 각이 지고 턱도 네모지게 각이 나서 전체적으로 네모난 얼굴형을 이룹니다. 쇠의 기운답게 원칙적이고 결단력이 강하며, 맺고 끊음이 분명한 강단 있는 성격과 연결지어 해석됩니다. 금형인 사람은 원칙과 결단력이 필요한 법조·금융·군경·기술 분야와 잘 맞는다고 해석되는 경우가 많습니다.",투데이신문 '오행이 관상에서 어떻게 사용되는가' (ntoday.co.kr)
G032,관상학,오행형,수형,水形,수형,수형(水形) — 둥글둥글하고 살집이 있는 인상,"수형은 얼굴 윤곽이 둥글둥글하고 이목구비의 경계가 부드러우며, 전체적으로 통통한 인상을 주는 형태로 봅니다. 물의 기운답게 유연하고 사교적이며, 상황에 맞춰 지혜롭게 대처하는 융통성과 연결지어 해석됩니다. 수형인 사람은 유연한 사고와 소통 능력이 필요한 영업·외교·연구·물류 분야에서 강점을 보인다고 해석됩니다.",투데이신문 '오행이 관상에서 어떻게 사용되는가' (ntoday.co.kr)
G033,관상학,눈,봉안,鳳眼,봉안,봉안 — 가늘고 길며 꼬리가 올라간 눈,"봉황의 눈에 비유되는 형태로, 눈꼬리가 길고 살짝 올라가 있으며 눈동자가 또렷한 것이 특징입니다. 전통 관상에서는 어짊과 지혜, 앞을 내다보는 통찰력을 상징하는 좋은 눈매로 꼽힙니다. 이런 눈매를 가진 사람은 차분하면서도 상황을 꿰뚫어 보는 통찰력이 있다는 평가를 받는 경우가 많다고 해석됩니다. 다만 관상학에서도 눈은 '마음의 창'이라 하여, 생김새 자체보다 눈빛에 담긴 총기와 안정감을 더 중요하게 본다는 점을 함께 기억해두면 좋습니다.",에스콰이어 코리아 '셀럽으로 보는 눈 관상 7가지' (esquirekorea.co.kr)
G034,관상학,눈,용안,龍眼,용안,용안 — 눈과 눈썹이 길게 이어지는 눈,"눈과 눈썹이 유려하게 이어지며 흐르는 듯한 인상을 주는 눈매입니다. 봉안 다음으로 귀하게 여겨지는 눈으로, 품격 있고 리더십 있는 인상을 상징한다고 해석됩니다. 이런 눈매를 가진 사람은 자연스럽게 무리 속에서 눈에 띄는 존재감을 지닌다고 해석되는 경우가 많습니다. 다만 관상학에서도 눈은 '마음의 창'이라 하여, 생김새 자체보다 눈빛에 담긴 총기와 안정감을 더 중요하게 본다는 점을 함께 기억해두면 좋습니다.",에스콰이어 코리아 '셀럽으로 보는 눈 관상 7가지' (esquirekorea.co.kr)
G035,관상학,눈,삼백안,三白眼,삼백안,삼백안 — 흰자위가 세 방향에서 보이는 눈,"눈동자를 기준으로 좌우와 위 또는 아래, 세 방향에서 흰자위가 드러나 보이는 눈입니다. 위쪽 흰자위가 보이는 상삼백안은 상대를 내려다보는 듯한 강한 인상과 연결짓고, 아래쪽이 보이는 하삼백안은 예리하고 승부욕 있는 인상과 연결짓는 경우가 많습니다. 다만 삼백안이라도 눈빛에 온기가 있으면 강렬한 매력으로 재해석되기도 해, 눈매 하나만으로 단정짓지 않는 것이 좋다고 봅니다. 다만 관상학에서도 눈은 '마음의 창'이라 하여, 생김새 자체보다 눈빛에 담긴 총기와 안정감을 더 중요하게 본다는 점을 함께 기억해두면 좋습니다.",에스콰이어 코리아 '셀럽으로 보는 눈 관상 7가지' (esquirekorea.co.kr)
G036,관상학,눈,올라간 눈(상꼬리눈),,올라간 눈(상꼬리눈),올라간 눈(상꼬리눈) — 눈꼬리가 위로 올라간 눈,"눈꼬리가 눈머리보다 위로 올라간 형태로, 야무지고 카리스마 있는 인상을 준다고 해석됩니다. 목표 지향적이고 자기 주관이 뚜렷한 성격과 연결짓는 경우가 많습니다. 이런 눈매는 첫인상이 강해 보일 수 있지만, 실제로는 명확한 기준과 원칙을 지닌 신뢰형 성격인 경우가 많다고 해석됩니다. 다만 관상학에서도 눈은 '마음의 창'이라 하여, 생김새 자체보다 눈빛에 담긴 총기와 안정감을 더 중요하게 본다는 점을 함께 기억해두면 좋습니다.",에스콰이어 코리아 '셀럽으로 보는 눈 관상 7가지' (esquirekorea.co.kr)
G037,관상학,눈,처진 눈,,처진 눈,처진 눈 — 눈꼬리가 아래로 처진 눈,"눈꼬리가 눈머리보다 아래로 처진 형태로, 순하고 편안한 인상을 준다고 해석됩니다. 친근하고 다정하며 상대를 배려하는 성격과 연결짓는 경우가 많습니다. 이런 눈매는 상대방을 무장해제시키는 편안함이 있어, 서비스업이나 상담직에서 강점으로 작용한다고 보기도 합니다. 다만 관상학에서도 눈은 '마음의 창'이라 하여, 생김새 자체보다 눈빛에 담긴 총기와 안정감을 더 중요하게 본다는 점을 함께 기억해두면 좋습니다.",에스콰이어 코리아 '셀럽으로 보는 눈 관상 7가지' (esquirekorea.co.kr)
G038,관상학,눈,쌍꺼풀눈,,쌍꺼풀눈,쌍꺼풀눈 — 눈꺼풀에 접힌 주름이 있는 눈,"윗눈꺼풀에 접힌 선이 있어 눈이 또렷하고 커 보이는 형태입니다. 감정 표현이 풍부하고 사교적이며 자기 표현에 적극적인 성격과 연결짓는 경우가 많습니다. 다만 쌍꺼풀의 유무보다 눈동자의 총기와 안정감이 더 중요한 관상 포인트로 여겨진다는 점도 함께 참고하면 좋습니다. 다만 관상학에서도 눈은 '마음의 창'이라 하여, 생김새 자체보다 눈빛에 담긴 총기와 안정감을 더 중요하게 본다는 점을 함께 기억해두면 좋습니다.",에스콰이어 코리아 '셀럽으로 보는 눈 관상 7가지' (esquirekorea.co.kr)
G039,관상학,눈,홑꺼풀눈,,홑꺼풀눈,홑꺼풀눈 — 접힌 주름 없이 매끈한 눈,"윗눈꺼풀에 접힌 선이 없이 매끈하게 이어지는 형태입니다. 차분하고 속이 깊으며, 감정을 잘 드러내지 않는 신중한 성격과 연결짓는 경우가 많습니다. 이런 눈매를 가진 사람은 겉으로 드러나지 않는 내공과 뚝심을 지녔다는 평가를 받는 경우가 많다고 해석됩니다. 다만 관상학에서도 눈은 '마음의 창'이라 하여, 생김새 자체보다 눈빛에 담긴 총기와 안정감을 더 중요하게 본다는 점을 함께 기억해두면 좋습니다.",에스콰이어 코리아 '셀럽으로 보는 눈 관상 7가지' (esquirekorea.co.kr)
G040,관상학,눈,왕방울눈(큰 눈),,왕방울눈(큰 눈),왕방울눈(큰 눈) — 눈이 크고 또렷한 눈,"눈동자와 눈 전체 면적이 커서 시원하고 또렷해 보이는 눈입니다. 감수성이 풍부하고 표현력이 좋으며 사람을 끌어당기는 매력이 있는 인상으로 해석됩니다. 이런 눈매는 솔직하고 감정에 충실한 인상을 주지만, 감정 기복을 조절하는 연습이 도움이 된다고 보기도 합니다. 다만 관상학에서도 눈은 '마음의 창'이라 하여, 생김새 자체보다 눈빛에 담긴 총기와 안정감을 더 중요하게 본다는 점을 함께 기억해두면 좋습니다.",에스콰이어 코리아 '셀럽으로 보는 눈 관상 7가지' (esquirekorea.co.kr)
